,node_name,date,RPM,FUELRATE,ENGINE_LOAD,ENGTEMP,ENGOILPRES,wind_velocity,alignment_factor,signal_instance
36,"12-02, Amalia Wallenberg",2024-05-31,0.01352595,0.020891622,0.0136476755,0.026629351,0.017088221,0.013454702,0.11026485,0.2760508
37,"12-02, Amalia Wallenberg",2024-06-01,0.021264324,0.03051932,0.018981047,0.040505316,0.021740885,0.019605994,0.091474496,0.2875016
38,"12-02, Amalia Wallenberg",2024-06-03,0.002163193,0.0024386975,0.003971422,0.002803284,0.017110905,0.0061671324,0.02971352,0.25694016
39,"12-02, Amalia Wallenberg",2024-06-07,0.0052550584,0.004501485,0.004847561,0.00689765,0.014451233,0.007184301,0.025547622,0.2577403
40,"12-02, Amalia Wallenberg",2024-06-08,0.0107321,0.015282216,0.012536098,0.0134635735,0.015527708,0.0131286625,0.042590007,0.2592925
41,"12-02, Amalia Wallenberg",2024-06-10,0.0019181218,0.0012118832,0.0026799538,0.00840764,0.0167973,0.009019308,0.03414106,0.26136994
42,"12-02, Amalia Wallenberg",2024-06-13,0.00641794,0.009969526,0.010563123,0.009826068,0.01254514,0.003855818,0.024529535,0.25077954
43,"12-02, Amalia Wallenberg",2024-06-17,0.0043346337,0.0009387524,0.0064815204,0.016463894,0.03319263,0.00088538945,0.099193364,0.26601267
44,"12-02, Amalia Wallenberg",2024-06-22,0.014307025,0.013962088,0.012251883,0.048134886,0.025462385,0.014880143,0.072370805,0.2833581
45,"12-02, Amalia Wallenberg",2024-06-23,0.006905126,0.010216929,0.008322,0.009401907,0.011840211,0.005369462,0.051588234,0.25765967
46,"12-02, Amalia Wallenberg",2024-06-24,0.013698297,0.017324029,0.010610946,0.029526263,0.019084418,0.01382605,0.081150666,0.270364
47,"12-02, Amalia Wallenberg",2024-07-01,0.0042498703,0.0057920595,0.0040765423,0.0126675265,0.009574262,0.006527489,0.035545256,0.25306246
48,"12-02, Amalia Wallenberg",2024-07-02,0.009734851,0.013241519,0.009801036,0.00494485,0.018484384,0.0024816648,0.0155681,0.25829002
49,"12-02, Amalia Wallenberg",2024-07-05,0.0054834913,0.0066617015,0.008638545,0.026220568,0.01943539,0.02684308,0.056359835,0.26118058
50,"12-02, Amalia Wallenberg",2024-07-06,0.022419248,0.03519786,0.026364189,0.040357754,0.02975102,0.026881283,0.05897274,0.27430806
51,"12-02, Amalia Wallenberg",2024-07-08,0.0074482965,0.005412265,0.009576098,0.023904657,0.01816701,0.0075330813,0.04586428,0.2577168
52,"12-02, Amalia Wallenberg",2024-07-12,0.014857853,0.020002546,0.013886369,0.025831979,0.018720469,0.008988499,0.09923625,0.26700503
53,"12-02, Amalia Wallenberg",2024-07-14,0.011063246,0.016937228,0.011277659,0.01656431,0.013111299,0.017617138,0.02577331,0.2624448
54,"12-02, Amalia Wallenberg",2024-07-15,0.005489307,0.005480598,0.0063656243,0.0110408915,0.017270576,0.0062146964,0.035824433,0.25586662
55,"12-02, Amalia Wallenberg",2024-07-16,0.008481535,0.010306655,0.0072312797,0.011227509,0.009656468,0.0032011755,0.023513326,0.2590249
56,"12-02, Amalia Wallenberg",2024-07-19,0.0050720093,0.005419729,0.00735068,0.024393922,0.011575506,0.0017795195,0.030331226,0.26605946
57,"12-02, Amalia Wallenberg",2024-07-20,0.021762803,0.03259537,0.025791548,0.035389796,0.031608477,0.0020909337,0.08393451,0.261569
58,"12-02, Amalia Wallenberg",2024-07-22,0.00767552,0.006771145,0.0098365005,0.007205619,0.010503217,0.0032332998,0.03266363,0.2527279
59,"12-02, Amalia Wallenberg",2024-07-23,0.004317279,0.0075503257,0.0064380746,0.019611785,0.009858029,0.0030327854,0.04234713,0.2546474
60,"12-02, Amalia Wallenberg",2024-07-25,0.014354301,0.018253505,0.015652476,0.030195966,0.023249457,0.009382922,0.032889046,0.26627967
61,"12-02, Amalia Wallenberg",2024-07-26,0.0075677494,0.008317424,0.009545986,0.0051794406,0.008232907,0.0029995781,0.04754277,0.25084242
62,"12-02, Amalia Wallenberg",2024-07-27,0.0077532097,0.013211442,0.011706883,0.015842916,0.013734235,0.0021730992,0.020957438,0.25658894
63,"12-02, Amalia Wallenberg",2024-07-28,0.009424566,0.013224655,0.0102814855,0.009601477,0.016007183,0.0054507004,0.03182678,0.2538097
64,"12-04, Lars Prytz",2024-05-03,0.019254178,0.032728065,0.02552854,0.014720844,0.020156492,0.004868623,0.07517204,0.26222634
65,"12-04, Lars Prytz",2024-05-05,0.009567358,0.014308409,0.010501855,0.006111395,0.011421472,0.0064267665,0.07273848,0.25123772
66,"12-04, Lars Prytz",2024-05-06,0.0127063375,0.013570148,0.011945225,0.019065846,0.012832298,0.014241067,0.08674311,0.25985807
67,"12-04, Lars Prytz",2024-05-12,0.0036280733,0.0020490726,0.0031058425,0.0048143915,0.011378045,0.0056674406,0.0583202,0.25792274
68,"12-04, Lars Prytz",2024-05-13,0.0075149676,0.0008939798,0.004230757,0.007971714,0.0076045576,0.0034566422,0.014844521,0.25385416
69,"12-04, Lars Prytz",2024-05-15,0.004658794,0.008878469,0.0062520807,0.0060546827,0.008906518,0.004031015,0.028678197,0.2562306
70,"12-04, Lars Prytz",2024-05-25,0.0050507025,0.0042055016,0.005071308,0.012881386,0.009756868,0.00554769,0.10145586,0.23418334
71,"12-04, Lars Prytz",2024-05-27,0.030761175,0.020576723,0.015331253,0.022425689,0.016536776,0.010836056,0.05020164,0.26860765
72,"12-04, Lars Prytz",2024-05-28,0.027916506,0.045928013,0.03152075,0.012400877,0.015341906,0.010416068,0.05315704,0.2557104
73,"12-04, Lars Prytz",2024-05-29,0.045813322,0.034102075,0.0236189,0.013319847,0.020364597,0.008184282,0.058421843,0.25889516
74,"12-04, Lars Prytz",2024-05-30,0.01862005,0.024892895,0.018233793,0.021337425,0.022108175,0.00957956,0.05675334,0.26698825
75,"12-04, Lars Prytz",2024-06-02,0.0016238315,0.002357773,0.005533404,0.0035474903,0.005863209,0.0025067043,0.062278863,0.25023502
76,"12-04, Lars Prytz",2024-06-03,0.0062395586,0.0038463052,0.006928353,0.009820659,0.009437788,0.0022055837,0.05559737,0.26027957
77,"12-04, Lars Prytz",2024-06-06,0.007378224,0.017188586,0.01036443,0.0050123576,0.00989926,0.010985502,0.03409108,0.25498477
78,"12-04, Lars Prytz",2024-06-12,0.013095227,0.020982673,0.01271518,0.005827611,0.011704435,0.0016717161,0.034780428,0.25154492
79,"12-04, Lars Prytz",2024-06-16,0.0073378617,0.0166101,0.011931266,0.0029958375,0.01279347,0.0047315652,0.025570141,0.2549058
80,"12-04, Lars Prytz",2024-06-25,0.012664067,0.020814305,0.016056944,0.008042097,0.015007202,0.0072161327,0.0354712,0.25680804
81,"12-04, Lars Prytz",2024-06-27,0.026573036,0.0404128,0.02359952,0.06708158,0.033535313,0.028548682,0.064709276,0.30767345
82,"12-04, Lars Prytz",2024-07-02,0.014435056,0.019845106,0.015938347,0.008695837,0.011832522,0.0038257742,0.053963758,0.2573858
83,"12-04, Lars Prytz",2024-07-03,0.007871053,0.011399264,0.008719221,0.0070607727,0.008202292,0.0028044037,0.029584378,0.25733894
84,"12-04, Lars Prytz",2024-07-06,0.0110231815,0.01949504,0.013772995,0.006799651,0.010544872,0.009642025,0.033381205,0.2549963
85,"12-04, Lars Prytz",2024-07-09,0.003714463,0.0011061722,0.0055213952,0.006635817,0.022916462,0.0020056795,0.03653583,0.25802377
86,"12-04, Lars Prytz",2024-07-10,0.001815197,0.0012489891,0.004907541,0.008243568,0.008997222,0.0011939954,0.022778433,0.2577092
87,"12-04, Lars Prytz",2024-07-13,0.00966263,0.0130213965,0.008555799,0.013341813,0.013796536,0.007832698,0.04965303,0.2622636
